query_id,system,model,entities,inline_citations,terminal_sources,code,notes
q001,Gemini,gemini-3.5-flash,Trello; Asana; monday.com; Wrike; Backlog; Jira Software; Notion,no,no,no,"Categorizes seven project management tools by use case with features, target users, and a selection roadmap, but no citations or sources."
q001,ChatGPT,gpt-5.5-2026-04-23,Asana; Notion; Trello; Jira; GitHub Projects; Backlog; Jooto; monday.com; Wrike,no,no,no,Lists nine project management tools organized by use case with a final selection guide but no citations or code.
q001,Claude,claude-opus-4-8,Notion; Asana; Trello; Jira; GitHub Projects; ClickUp; monday.com,no,no,no,Recommends seven project management tools grouped by category with a follow-up table asking for user requirements to narrow down choices.
q001,Perplexity,sonar,Trello; Notion; Jira; Backlog; Asana; monday.com; Wrike,yes,yes,no,Recommends seven project management tools by purpose with inline citation markers but no terminal source list or code.
q002,Gemini,gemini-3.5-flash,HubSpot CRM; Zoho CRM; Pipedrive; Monday.com; Streak,no,no,no,"A categorized breakdown of five small-business CRMs with pros, cons, and pricing, followed by a quick cheat sheet, but no citations or sources."
q002,ChatGPT,gpt-5.5-2026-04-23,HubSpot CRM; Zoho CRM; Pipedrive; Copper; Freshsales; Salesforce Starter,no,no,no,"Recommends six CRMs categorized by use case, with a final quick-pick summary favoring HubSpot, Zoho, and Pipedrive."
q002,Claude,claude-opus-4-8,HubSpot CRM; Pipedrive; Zoho CRM; Freshsales; Salesforce; Less Annoying CRM; Copper,no,no,no,"Categorized list of seven CRM recommendations by priority, followed by clarifying questions to narrow down the choice."
q002,Perplexity,sonar,HubSpot CRM; Pipedrive; Zoho CRM; Salesforce; Bigin by Zoho,yes,yes,no,Recommends several CRMs with use-case guidance and inline citations but no terminal sources list or code.
q003,Gemini,gemini-3.5-flash,,no,no,no,"Structured Japanese advice on improving sleep quality across morning, daytime, night, and bedroom phases, with no cited sources or specific product recommendations."
q003,ChatGPT,gpt-5.5-2026-04-23,起床時間を固定する; 朝に日光を浴びる; 寝る前のスマホ・PCを控える; カフェインは午後以降控える; 寝酒は避ける; 寝室を快適にする; 寝る前のルーティンを作る; 運動する; 昼寝は短めにする; 眠れないまま布団で粘らない,no,no,no,A structured list of 10 sleep-improvement tips with a top-3 recommendation and a note to consult a doctor for persistent problems.
q003,Claude,claude-opus-4-8,起床時間を固定する; 朝日を浴びる,no,no,no,"Categorized sleep-hygiene tips with emoji headers, highlighting fixed wake time and morning sunlight as most effective, with no citations or sources."
q003,Perplexity,sonar,起床時刻を一定にする; 朝起きたら光を浴びる; 寝る前のスマホ・PCを控える; 寝室を暗くする; 夕食は早めに済ませる; 入浴は寝る1.5〜2時間前; 軽い運動を習慣にする; 寝室の環境を整える,yes,yes,no,"A bulleted list of sleep-hygiene tips with inline numbered citations but no terminal source list, ending with advice to see a doctor if symptoms persist."
q004,Gemini,gemini-3.5-flash,LangChain; ChromaDB; OpenAI; FAISS; Pinecone; Milvus; Qdrant; pgvector; all-MiniLM-L6-v2; text-embedding-3-large; Cohere Embed; Ollama; GPT-4o; Claude 3.5 Sonnet; LlamaIndex; Cohere Rerank; Ragas; TruLens,no,no,yes,"A detailed RAG implementation tutorial with architecture explanation, a full Python code example using LangChain/ChromaDB/OpenAI, a tech-stack comparison table, and production best practices."
q004,ChatGPT,gpt-5.5-2026-04-23,Chroma; FAISS; Pinecone; Weaviate; Qdrant; Milvus; OpenAI text-embedding-3-small/large; Cohere embeddings; SentenceTransformers all-MiniLM-L6-v2; BGE embeddings; Instructor embeddings; OpenAI GPT; Claude; Gemini; Llama; Mistral,no,no,yes,"A detailed RAG tutorial with a Chroma+OpenAI code walkthrough plus lists of vector DB, embedding, and LLM options and production tips."
q004,Claude,claude-opus-4-8,ChromaDB; sentence-transformers; OpenAI; all-MiniLM-L6-v2; gpt-4o-mini,no,no,yes,"A practical RAG tutorial using ChromaDB, sentence-transformers, and OpenAI, with code examples and tables of design decisions but no citations."
q004,Perplexity,sonar,Pinecone; Weaviate; Qdrant; Milvus; FAISS; Chroma; pgvector,yes,yes,yes,"A step-by-step RAG pipeline walkthrough with inline citations and a Python code snippet, listing common vector databases but with no terminal reference list."
q005,Gemini,gemini-3.5-flash,松尾豊; 福島邦彦; 杉山将; 甘利俊一; 北野宏明,no,no,no,"Lists five prominent Japanese AI researchers with their positions, specialties, and detailed profiles, but no citations or sources."
q005,ChatGPT,gpt-5.5-2026-04-23,松尾豊; 杉山将; 甘利俊一; 辻井潤一; 國吉康夫,no,no,no,"Lists five prominent Japanese AI researchers with their affiliations and research areas, no citations or sources."
q005,Claude,claude-opus-4-8,松尾豊; 甘利俊一; 杉山将; 石黒浩; 中島秀之,no,no,no,"Lists five notable Japanese AI researchers with brief descriptions and caveats about subjectivity, without any citations or sources."
q005,Perplexity,sonar,松尾豊; 杉山将; 石黒浩; 伊藤孝行; 今井翔太,yes,yes,no,Lists five Japanese AI researchers with brief descriptions and inline citation markers but no terminal source list.
