day,date,human_readable_report,run_metadata,raw_response,structured_response_json,coded_observations,analysis_json,claim_law_update,exact_request_timestamp,exact_response_timestamp,exact_model_identifier,request_parameters,source_citation_evidence,notes
1,2026-05-05,present,present,present,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Responses are embedded in the report; exact times are null and model labels are not independently verified. Historical collection-mode wording is superseded by the API-since-Day-1 correction."
2,2026-05-12,present,absent,present,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Responses are embedded in the report; timestamp placeholders are not exact timestamps."
3,2026-05-19,present,absent,partial,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Twenty response sections are present, but at least one is explicitly abbreviated."
4,2026-05-26,present,absent,present,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Response sections are embedded in the human-readable report; no separate packet is preserved."
5,2026-06-02,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Analytical report is preserved without standalone raw or structured responses."
6,2026-06-09,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Analytical report and withdrawal history are preserved without a separate structured packet."
7,2026-06-16,present,present,absent,absent,present,present,present,absent,absent,partial,absent,partial,"Twenty coded rows and analysis are preserved; Grok is explicitly excluded. Historical collection-mode fields are superseded by the API-since-Day-1 correction."
8,2026-06-23,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Human-readable analytical report only."
9,2026-06-30,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Human-readable analytical report only."
10,2026-07-07,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Human-readable analytical report only."
11,2026-07-14,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Report preserves explicit temporal-provenance anomaly discussion but not request-level timestamps."
12,2026-07-21,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Corrected Claude q003 record and correction narrative are preserved; no separate raw packet is available."
13,2026-07-28,present,absent,absent,absent,absent,absent,partial,absent,absent,partial,absent,partial,"Complete human-readable freeze-boundary report; no separate structured packet is preserved."
